Nº Borough;Borough;Nº Neighbourhood;Neighbourhood;Población 16-64 años;2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7;2020-8;2020-9;2020-10;2020-11;2020-12;2021-1;2021-2;2021-3;;;;
7;Horta - Guinardó;34;Can Baró;6087;6,3;6,3;6,9;7,7;8,1;8,2;8,1;8,2;8,0;8,0;7,8;8,0;8,1;8,2;8,2;;;;
7;Horta - Guinardó;35;El Guinardó;24437;6,3;6,2;6,6;7,5;8,0;8,1;8,0;8,1;8,0;8,0;7,9;8,1;8,4;8,5;8,4;;;;
7;Horta - Guinardó;36;La Font d'en Fargues;5844;8,2;8,2;8,7;9,8;10,2;10,4;10,2;10,3;10,2;10,2;10,0;10,3;10,7;10,8;10,7;;;;
7;Horta - Guinardó;37;El Carmelo;20925;7,8;7,8;8,3;9,3;9,8;10,0;9,8;9,8;9,7;9,8;9,5;9,8;10,2;10,3;10,2;;;;
7;Horta - Guinardó;38;La Teixonera;7904;6,3;6,4;6,7;7,7;8,1;8,2;8,1;8,2;8,2;8,1;8,3;8,4;8,7;8,8;8,5;;;;
7;Horta - Guinardó;39;Sant Genís dels Agudells;4682;6,4;6,6;6,9;7,9;8,4;8,4;8,3;8,5;8,5;8,4;8,6;8,8;9,0;9,1;8,8;;;;
7;Horta - Guinardó;40;Montbau;3221;6,7;6,9;7,2;8,3;8,8;8,8;8,7;8,9;8,9;8,8;9,1;9,2;9,5;9,6;9,3;;;;
7;Horta - Guinardó;41;La Vall d'Hebrón;3541;6,5;6,7;7,0;8,0;8,5;8,6;8,5;8,6;8,6;8,6;8,8;8,9;9,2;9,3;9,0;;;;
7;Horta - Guinardó;42;La Clota;497;3,2;3,4;3,4;4,0;4,2;4,2;4,2;4,2;4,2;4,2;4,4;4,4;4,6;4,6;4,5;;;;
7;Horta - Guinardó;43;Horta;17771;7,6;7,8;8,1;9,1;9,6;9,9;9,6;9,7;9,6;9,8;9,6;9,9;10,2;10,4;10,3;;;;
8;Nou Barris;44;Vilapicina i La Torre Llobeta;16400;7,7;7,9;8,1;9,2;9,7;10,0;9,7;9,8;9,7;9,9;9,9;10,0;10,3;10,5;10,4;;;;
