Nº Borough;Borough;Nº Neighbourhood;Neighbourhood;Población 16-64 años;2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7;2020-8;2020-9;2020-10;2020-11;2020-12;2021-1;2021-2;2021-3;;;;
8;Nou Barris;44;Vilapicina i La Torre Llobeta;16400;1263;1296;1328;1509;1591;1640;1591;1607;1591;1624;1624;1640;1689;1722;1706;;;;
8;Nou Barris;45;Porta;17963;1257;1257;1311;1491;1545;1599;1563;1581;1563;1581;1599;1599;1635;1671;1653;;;;
8;Nou Barris;46;Turó de la Peira;10552;781;802;823;939;992;1024;992;1002;981;1013;1002;1024;1066;1076;1076;;;;
8;Nou Barris;47;Can Peguera;1411;109;111;116;130;137;141;137;138;135;140;140;143;147;148;148;;;;
8;Nou Barris;48;La Guineueta;9052;887;905;932;1041;1086;1132;1095;1095;1086;1113;1122;1132;1159;1186;1195;;;;
8;Nou Barris;49;Canyelles;4082;433;441;457;510;531;551;535;535;531;543;547;551;567;580;580;;;;
8;Nou Barris;50;Les Roquetes;10915;939;950;993;1102;1146;1201;1157;1157;1146;1179;1179;1190;1233;1255;1255;;;;
8;Nou Barris;51;Verdún;8306;714;731;756;847;880;922;889;889;880;905;905;914;939;963;963;;;;
8;Nou Barris;52;La Prosperitat;16807;1412;1412;1479;1681;1748;1798;1765;1782;1748;1782;1798;1798;1849;1882;1849;;;;
8;Nou Barris;53;La Trinitat Nova;5195;634;639;665;732;774;805;784;800;784;810;805;821;852;862;857;;;;
8;Nou Barris;54;Torre Baró;1985;177;177;185;202;214;222;216;222;218;224;224;228;236;240;238;;;;
8;Nou Barris;55;Ciudad Meridiana;7218;917;917;960;1054;1119;1162;1133;1162;1140;1177;1169;1191;1234;1249;1241;;;;
8;Nou Barris;56;Vallbona;901;106;107;111;122;130;135;131;135;132;136;135;138;143;145;144;;;;
9;Sant Andreu;57;La Trinitat Vella;7009;848;855;890;974;1037;1079;1051;1079;1058;1086;1079;1100;1142;1156;1149;;;;
9;Sant Andreu;58;Baró de Viver;1755;118;119;128;139;144;146;142;146;142;142;140;140;146;149;146;;;;
9;Sant Andreu;59;El Buen Pastor;9014;676;676;730;793;820;829;811;829;811;811;802;802;829;847;829;;;;
9;Sant Andreu;60;San Andrés;37215;2717;2754;2940;3200;3312;3349;3275;3349;3275;3312;3238;3238;3349;3424;3387;;;;
9;Sant Andreu;61;La Sagrera;18540;1205;1224;1335;1502;1557;1576;1557;1594;1557;1576;1576;1613;1632;1632;1613;;;;
9;Sant Andreu;62;Congrés i els Indians;9638;588;598;655;732;761;771;761;771;761;771;771;781;790;790;781;;;;
9;Sant Andreu;63;Navas;14407;908;908;994;1124;1167;1181;1167;1196;1167;1181;1181;1196;1225;1225;1210;;;;
10;Sant Martí;64;El Camp de l'Arpa del Clot;25714;1774;1800;1954;2186;2263;2314;2289;2314;2263;2263;2237;2263;2340;2366;2314;;;;
10;Sant Martí;65;El Clot;18009;1207;1225;1315;1477;1513;1567;1549;1567;1549;1549;1549;1567;1585;1621;1585;;;;
10;Sant Martí;66;El Parc i la Llacuna del Poblenou;10685;598;598;630;705;737;759;748;769;759;759;759;769;780;791;780;;;;
10;Sant Martí;67;La Vila Olímpica del Poblenou;6471;414;408;427;485;505;524;524;531;518;518;518;518;524;531;524;;;;
10;Sant Martí;68;Poble Nou;23221;1416;1393;1463;1649;1718;1788;1788;1811;1788;1765;1765;1788;1811;1834;1811;;;;
10;Sant Martí;69;Diagonal Mar i Front Marítim del Poblenou;8766;631;640;675;763;798;806;798;806;798;806;824;833;859;877;877;;;;
10;Sant Martí;70;El Besòs i el Maresme;17383;1443;1460;1547;1738;1825;1843;1825;1843;1808;1843;1877;1912;1964;1999;1999;;;;
10;Sant Martí;71;Provençals del Poblenou;14391;950;964;1036;1137;1180;1209;1194;1209;1194;1194;1209;1223;1252;1266;1252;;;;
10;Sant Martí;72;Sant Martí de Provençals;16235;1315;1331;1445;1575;1624;1656;1624;1656;1624;1640;1624;1640;1688;1721;1705;;;;
10;Sant Martí;73;La Verneda i la Pau;17602;1479;1514;1637;1778;1831;1866;1831;1883;1848;1848;1831;1848;1919;1936;1919;;;;
